hospital_ref,district_code,state,hospital_type,basic_tier,specialties
HOSP-11585,692,TELANGANA,Private(For Profit),False,cardiology|emergency_room|general_medicine|general_surgery|interventional_neuroradiology|neurosurgery|paediatric_medicine|urology
HOSP-11586,504,ANDHRA PRADESH,Public,True,
HOSP-11587,160,UTTAR PRADESH,Private(For Profit),False,general_surgery
HOSP-11588,64,HARYANA,Public,True,emergency_room|general_medicine|oral_maxillofacial
HOSP-11589,507,TELANGANA,Private(For Profit),False,cardiology|ctvs
HOSP-11590,484,MAHARASHTRA,Private(For Profit),False,
HOSP-11591,673,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-11592,75,HARYANA,Public,False,cardiology|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|mental_disorders|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery|polytrauma|urology
HOSP-11593,674,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-11594,754,ANDHRA PRADESH,Public,True,
HOSP-11595,542,KARNATAKA,Public,True,
HOSP-11596,87,RAJASTHAN,Private(For Profit),False,
HOSP-11597,183,UTTAR PRADESH,Public,True,general_medicine
HOSP-11598,700,TELANGANA,Public,True,
HOSP-11599,39,PUNJAB,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-11600,504,ANDHRA PRADESH,Private(For Profit),False,
HOSP-11601,68,HARYANA,Private(Not For Profit),False,ophthalmology
HOSP-11602,686,TELANGANA,Public,True,
HOSP-11603,157,UTTAR PRADESH,Private(For Profit),False,cardiology|emergency_room|general_medicine|general_surgery|orthopaedics|urology
HOSP-11604,545,KARNATAKA,Public,True,
HOSP-11605,460,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-11606,186,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-11607,388,CHHATTISGARH,Public,True,emergency_room|general_medicine|neonatal|obgyn|paediatric_medicine
HOSP-11608,60,HARYANA,Public,True,emergency_room|general_medicine
HOSP-11609,496,MAHARASHTRA,Private(For Profit),False,burns|medical_oncology|paediatric_cancer|plastic_surgery|radiation_oncology|surgical_oncology
HOSP-11610,654,TRIPURA,Public,True,emergency_room|general_medicine
HOSP-11611,583,TAMIL NADU,Private(For Profit),False,
HOSP-11612,73,HARYANA,Private(For Profit),False,neonatal|paediatric_medicine|paediatric_surgery
HOSP-11613,287,ASSAM,Private(Not For Profit),False,emergency_room|ent|general_medicine|general_surgery|obgyn|paediatric_medicine
HOSP-11614,630,KARNATAKA,Public,True,
HOSP-11615,578,TAMIL NADU,Private(For Profit),False,burns|cardiology|ctvs|emergency_room|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|neonatal|neurosurgery|obgyn|ophthalmology|orthopaedics|paediatric_medicine|paediatric_surgery|plastic_surgery|surgical_oncology|urology
