hospital_ref,district_code,state,hospital_type,basic_tier,specialties
HOSP-00001,192,BIHAR,Private(For Profit),False,ophthalmology
HOSP-00002,489,MAHARASHTRA,Private(For Profit),False,
HOSP-00003,656,MEGHALAYA,Public,True,emergency_room|ent|general_medicine|general_surgery|obgyn|oral_maxillofacial|paediatric_medicine
HOSP-00004,630,KARNATAKA,Public,True,
HOSP-00005,332,JHARKHAND,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn
HOSP-00006,106,RAJASTHAN,Private(For Profit),False,
HOSP-00007,525,KARNATAKA,Public,True,
HOSP-00008,536,KARNATAKA,Public,False,
HOSP-00009,506,ANDHRA PRADESH,Private(For Profit),False,
HOSP-00010,147,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00011,135,UTTAR PRADESH,Private(Not For Profit),False,ophthalmology|orthopaedics
HOSP-00012,511,ANDHRA PRADESH,Private(For Profit),False,
HOSP-00013,265,MIZORAM,Public,False,burns|emergency_room|ent|general_medicine|general_surgery|mental_disorders|neonatal|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma
HOSP-00014,164,UTTAR PRADESH,Public,True,emergency_room|general_medicine|obgyn|paediatric_medicine
HOSP-00015,549,KARNATAKA,Public,True,
HOSP-00016,381,CHHATTISGARH,Public,True,emergency_room|general_medicine|general_surgery|obgyn
HOSP-00017,512,TELANGANA,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00018,152,UTTAR PRADESH,Public,True,general_medicine
HOSP-00019,117,RAJASTHAN,Public,True,emergency_room|general_medicine
HOSP-00020,584,TAMIL NADU,Private(For Profit),False,burns|cardiology|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|neonatal|neurosurgery|obgyn|orthopaedics|paediatric_medicine|paediatric_surgery|plastic_surgery|surgical_oncology|urology
HOSP-00021,171,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_surgery|obgyn|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma
HOSP-00022,482,MAHARASHTRA,GOI,False,emergency_room|general_medicine
HOSP-00023,255,MANIPUR,Private(For Profit),False,general_medicine|medical_oncology|radiation_oncology
HOSP-00024,534,KARNATAKA,Public,True,
HOSP-00025,125,UTTAR PRADESH,Public,True,general_medicine
HOSP-00026,506,ANDHRA PRADESH,Public,True,general_surgery|obgyn
HOSP-00027,631,KARNATAKA,Public,True,
HOSP-00028,172,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00029,13,JAMMU AND KASHMIR,Public,False,emergency_room|ent|general_medicine|general_surgery|medical_oncology|ophthalmology|radiation_oncology
HOSP-00030,175,UTTAR PRADESH,Public,True,emergency_room|general_medicine|general_surgery
HOSP-00031,550,KARNATAKA,Public,True,
HOSP-00032,533,KARNATAKA,Public,True,
HOSP-00033,51,UTTARAKHAND,Private(For Profit),False,ent|general_medicine|general_surgery|neonatal|obgyn|orthopaedics|paediatric_medicine|urology
HOSP-00034,527,KARNATAKA,Public,True,
HOSP-00035,458,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00036,525,KARNATAKA,Public,True,
HOSP-00037,650,CHHATTISGARH,Public,True,emergency_room|general_medicine|general_surgery|obgyn
HOSP-00038,525,KARNATAKA,Public,False,
HOSP-00039,93,RAJASTHAN,Public,True,emergency_room|general_medicine
HOSP-00040,87,RAJASTHAN,Private(For Profit),False,
HOSP-00041,323,JHARKHAND,Public,True,emergency_room|general_medicine|general_surgery|obgyn|paediatric_medicine
HOSP-00042,102,RAJASTHAN,Public,True,emergency_room|general_medicine
HOSP-00043,99,RAJASTHAN,Public,False,emergency_room|ent|general_medicine|general_surgery|obgyn|orthopaedics|paediatric_medicine
HOSP-00044,148,UTTAR PRADESH,Private(For Profit),False,burns|emergency_room|ent|general_medicine|general_surgery|obgyn|orthopaedics|paediatric_medicine|plastic_surgery|urology
HOSP-00045,654,TRIPURA,Public,True,emergency_room|general_medicine
HOSP-00046,148,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00047,487,MAHARASHTRA,Public,False,
HOSP-00048,158,UTTAR PRADESH,Public,True,general_medicine
HOSP-00049,256,MANIPUR,Private(For Profit),False,ent|general_medicine|general_surgery|obgyn|oral_maxillofacial|orthopaedics|paediatric_medicine
HOSP-00050,432,MADHYA PRADESH,Public,True,obgyn
HOSP-00051,539,KARNATAKA,Public,True,paediatric_cancer
HOSP-00052,68,HARYANA,Private(For Profit),False,cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neonatal|neurosurgery|obgyn|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery|polytrauma|urology
HOSP-00053,396,MADHYA PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|orthopaedics
HOSP-00054,445,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00055,482,MAHARASHTRA,Public,False,burns|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma|urology
HOSP-00056,34,PUNJAB,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00057,300,ASSAM,Private(For Profit),False,ophthalmology
HOSP-00058,619,HARYANA,Public,True,emergency_room|general_medicine
HOSP-00059,450,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00060,441,GUJARAT,Private(For Profit),False,neonatal|paediatric_medicine
HOSP-00061,110,RAJASTHAN,Private(For Profit),False,
HOSP-00062,26,HIMACHAL PRADESH,Private(For Profit),False,general_medicine|orthopaedics
HOSP-00063,508,TELANGANA,Private(For Profit),False,
HOSP-00064,382,CHHATTISGARH,Public,False,emergency_room|general_medicine|general_surgery|obgyn
HOSP-00065,201,BIHAR,Public,False,general_surgery
HOSP-00066,533,KARNATAKA,Public,True,
HOSP-00067,334,JHARKHAND,Private(For Profit),False,general_surgery
HOSP-00068,113,RAJASTHAN,Public,False,
HOSP-00069,102,RAJASTHAN,Private(For Profit),False,
HOSP-00070,517,ANDHRA PRADESH,Public,True,
HOSP-00071,96,RAJASTHAN,Private(For Profit),False,
HOSP-00072,132,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn
HOSP-00073,396,MADHYA PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|orthopaedics|polytrauma
HOSP-00074,152,UTTAR PRADESH,Public,True,general_medicine
HOSP-00075,494,MAHARASHTRA,Private(For Profit),False,
HOSP-00076,528,KARNATAKA,Public,True,
HOSP-00077,74,HARYANA,Public,False,emergency_room|general_medicine
HOSP-00078,669,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00079,106,RAJASTHAN,Private(For Profit),False,emergency_room|ent|general_medicine|general_surgery|obgyn|orthopaedics|paediatric_medicine
HOSP-00080,140,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00081,174,UTTAR PRADESH,Public,True,general_medicine
HOSP-00082,591,TAMIL NADU,Public,True,
HOSP-00083,438,GUJARAT,Private(For Profit),False,ent|general_medicine|general_surgery|urology
HOSP-00084,104,RAJASTHAN,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|orthopaedics|paediatric_medicine
HOSP-00085,577,TAMIL NADU,Private(For Profit),False,general_surgery|urology
HOSP-00086,700,TELANGANA,Private(For Profit),False,
HOSP-00087,484,MAHARASHTRA,Private(For Profit),False,
HOSP-00088,411,MADHYA PRADESH,Public,False,cardiology|emergency_room|ent|general_medicine|general_surgery|medical_oncology|neurosurgery|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery|polytrauma|surgical_oncology|urology
HOSP-00089,568,TAMIL NADU,Private(For Profit),False,
HOSP-00090,535,KARNATAKA,Public,False,ophthalmology
HOSP-00091,184,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00092,579,TAMIL NADU,Public,False,
HOSP-00093,147,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|orthopaedics
HOSP-00094,572,TAMIL NADU,Private(For Profit),False,general_medicine|urology
HOSP-00095,484,MAHARASHTRA,Private(For Profit),False,
HOSP-00096,125,UTTAR PRADESH,Private(For Profit),False,emergency_room|ent|general_medicine|general_surgery|obgyn|orthopaedics|polytrauma|surgical_oncology|urology
HOSP-00097,143,UTTAR PRADESH,Public,False,cardiology|emergency_room|ent|general_medicine|general_surgery|mental_disorders|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine
HOSP-00098,132,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|oral_maxillofacial|orthopaedics|polytrauma|urology
HOSP-00099,22,HIMACHAL PRADESH,Private(For Profit),False,ent|general_medicine|general_surgery|obgyn|orthopaedics|paediatric_medicine|urology
HOSP-00100,512,TELANGANA,Public,True,
HOSP-00101,561,KERALA,Private(Not For Profit),False,general_medicine|urology
HOSP-00102,322,JHARKHAND,Private(For Profit),False,ophthalmology
HOSP-00103,490,MAHARASHTRA,Private(For Profit),False,
HOSP-00104,410,MADHYA PRADESH,Private(For Profit),False,general_surgery|orthopaedics
HOSP-00105,387,CHHATTISGARH,Private(For Profit),False,burns|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neurosurgery|obgyn|orthopaedics|paediatric_surgery|plastic_surgery|polytrauma|surgical_oncology|urology
HOSP-00106,517,ANDHRA PRADESH,Public,True,
HOSP-00107,460,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00108,504,ANDHRA PRADESH,Public,True,
HOSP-00109,476,MAHARASHTRA,Private(For Profit),False,cardiology|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|polytrauma|surgical_oncology|urology
HOSP-00110,378,CHHATTISGARH,Public,True,emergency_room|general_medicine
HOSP-00111,588,TAMIL NADU,Public,True,
HOSP-00112,586,TAMIL NADU,Public,False,
HOSP-00113,183,UTTAR PRADESH,Public,False,emergency_room|ent|general_medicine|general_surgery|mental_disorders|oral_maxillofacial|orthopaedics|paediatric_medicine
HOSP-00114,56,UTTARAKHAND,Private(For Profit),False,emergency_room|general_medicine|general_surgery|neonatal|obgyn|orthopaedics|paediatric_medicine|urology
HOSP-00115,41,PUNJAB,Private(For Profit),False,general_medicine
HOSP-00116,187,UTTAR PRADESH,Private(For Profit),False,emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neurosurgery|obgyn|orthopaedics|paediatric_medicine|paediatric_surgery|urology
HOSP-00117,647,CHHATTISGARH,Public,True,emergency_room|general_medicine|obgyn
HOSP-00118,559,KERALA,Private(Not For Profit),False,emergency_room|general_medicine
HOSP-00119,592,TAMIL NADU,Public,False,
HOSP-00120,510,ANDHRA PRADESH,Public,True,
HOSP-00121,339,JHARKHAND,Private(Not For Profit),False,emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neurosurgery|obgyn|orthopaedics|paediatric_medicine|urology
HOSP-00122,287,ASSAM,Public,False,emergency_room|general_medicine|obgyn
HOSP-00123,32,PUNJAB,Private(For Profit),False,emergency_room|general_medicine|general_surgery|urology
HOSP-00124,134,UTTAR PRADESH,Private(For Profit),False,ent|general_medicine|general_surgery|obgyn|ophthalmology|orthopaedics|paediatric_medicine|urology
HOSP-00125,102,RAJASTHAN,Private(For Profit),False,burns|emergency_room|ent|general_medicine|general_surgery|orthopaedics|paediatric_medicine|plastic_surgery
HOSP-00126,546,KARNATAKA,Public,False,
HOSP-00127,546,KARNATAKA,Private(For Profit),False,
HOSP-00128,545,KARNATAKA,Private(For Profit),True,burns|cardiology|general_surgery|interventional_neuroradiology|neurosurgery|paediatric_surgery|plastic_surgery|polytrauma|urology
HOSP-00129,175,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00130,544,KARNATAKA,Public,True,medical_oncology|radiation_oncology|surgical_oncology
HOSP-00131,550,KARNATAKA,Public,True,
HOSP-00132,201,BIHAR,Public,True,emergency_room|general_medicine|general_surgery
HOSP-00133,64,HARYANA,Private(For Profit),False,burns|emergency_room|general_medicine|general_surgery|obgyn|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma|urology
HOSP-00134,171,UTTAR PRADESH,Private(For Profit),False,general_medicine|general_surgery|neonatal|paediatric_medicine
HOSP-00135,265,MIZORAM,Public,False,cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|mental_disorders|neonatal|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery
HOSP-00136,441,GUJARAT,Private(For Profit),False,general_surgery
HOSP-00137,279,MEGHALAYA,Public,True,emergency_room|ent|general_medicine|general_surgery|obgyn|paediatric_medicine
HOSP-00138,520,ANDHRA PRADESH,Public,True,
HOSP-00139,393,MADHYA PRADESH,Public,True,general_medicine|neonatal|obgyn|paediatric_medicine
HOSP-00140,74,HARYANA,Public,True,emergency_room|ent|general_medicine|general_surgery|obgyn|ophthalmology|orthopaedics
HOSP-00141,537,KARNATAKA,Public,True,
HOSP-00142,187,UTTAR PRADESH,Private(For Profit),False,ent|general_medicine|general_surgery|orthopaedics|urology
HOSP-00143,503,ANDHRA PRADESH,Public,True,
HOSP-00144,119,UTTAR PRADESH,Private(For Profit),False,burns|emergency_room|general_medicine|general_surgery|neonatal|obgyn|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|urology
HOSP-00145,455,GUJARAT,Public,True,emergency_room|general_medicine|obgyn|paediatric_medicine
HOSP-00146,131,UTTAR PRADESH,Private(For Profit),False,emergency_room|ent|general_medicine|general_surgery|obgyn|orthopaedics
HOSP-00147,458,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00148,684,TELANGANA,Public,True,
HOSP-00149,121,UTTAR PRADESH,Public,True,general_medicine
HOSP-00150,102,RAJASTHAN,Private(For Profit),False,
HOSP-00151,685,TELANGANA,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00152,462,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00153,461,GUJARAT,Private(For Profit),False,orthopaedics|polytrauma
HOSP-00154,568,TAMIL NADU,Public,False,
HOSP-00155,450,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00156,114,RAJASTHAN,Private(For Profit),False,
HOSP-00157,131,UTTAR PRADESH,Public,True,general_medicine
HOSP-00158,27,PUNJAB,Private(For Profit),False,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|neonatal|neurosurgery|obgyn|ophthalmology|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|radiation_oncology|surgical_oncology|urology
HOSP-00159,607,JHARKHAND,Private(For Profit),False,emergency_room|general_medicine|general_surgery|orthopaedics|polytrauma
HOSP-00160,155,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00161,526,KARNATAKA,Public,True,
HOSP-00162,525,KARNATAKA,Private(For Profit),False,
HOSP-00163,533,KARNATAKA,Public,True,
HOSP-00164,527,KARNATAKA,Public,True,
HOSP-00165,338,JHARKHAND,Public,True,emergency_room|general_medicine|general_surgery|obgyn|paediatric_medicine
HOSP-00166,110,RAJASTHAN,Public,True,
HOSP-00167,631,KARNATAKA,Public,True,
HOSP-00168,501,TELANGANA,Private(For Profit),False,
HOSP-00169,643,CHHATTISGARH,Public,False,emergency_room|ent|general_medicine|general_surgery|ophthalmology|orthopaedics|paediatric_medicine
HOSP-00170,683,TELANGANA,Public,True,emergency_room|general_medicine
HOSP-00171,183,UTTAR PRADESH,Public,False,obgyn
HOSP-00172,152,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00173,478,MAHARASHTRA,Private(For Profit),False,
HOSP-00174,28,PUNJAB,Private(For Profit),False,burns|emergency_room|general_medicine|general_surgery|interventional_neuroradiology|neurosurgery|obgyn|orthopaedics|plastic_surgery|urology
HOSP-00175,536,KARNATAKA,Public,False,emergency_room|ent|general_medicine|general_surgery|obgyn|ophthalmology|orthopaedics|paediatric_cancer|paediatric_surgery
HOSP-00176,694,TELANGANA,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00177,375,CHHATTISGARH,Public,True,emergency_room|general_medicine|obgyn
HOSP-00178,25,HIMACHAL PRADESH,Private(For Profit),False,burns|emergency_room|general_medicine|general_surgery|obgyn|orthopaedics|plastic_surgery|urology
HOSP-00179,141,UTTAR PRADESH,Public,True,emergency_room|general_medicine|general_surgery|obgyn
HOSP-00180,102,RAJASTHAN,Private(For Profit),False,emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neurosurgery|obgyn|orthopaedics
HOSP-00181,590,TAMIL NADU,Public,False,
HOSP-00182,162,UTTAR PRADESH,Private(For Profit),False,cardiology|ent|general_medicine|general_surgery|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery|plastic_surgery|urology
HOSP-00183,178,UTTAR PRADESH,Public,True,general_medicine|general_surgery|obgyn
HOSP-00184,206,BIHAR,Public,False,general_surgery
HOSP-00185,339,JHARKHAND,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|ophthalmology|orthopaedics
HOSP-00186,144,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn
HOSP-00187,212,BIHAR,Private(For Profit),False,ophthalmology
HOSP-00188,396,MADHYA PRADESH,Private(For Profit),False,cardiology|emergency_room|general_medicine|general_surgery|obgyn|orthopaedics|urology
HOSP-00189,585,TAMIL NADU,Private(For Profit),False,
HOSP-00190,162,UTTAR PRADESH,Private(For Profit),False,general_medicine|general_surgery|neurosurgery|obgyn|orthopaedics|polytrauma
HOSP-00191,169,UTTAR PRADESH,Private(For Profit),False,ent|general_medicine|general_surgery|obgyn|orthopaedics|paediatric_medicine|plastic_surgery
HOSP-00192,125,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00193,383,CHHATTISGARH,Public,False,burns|cardiology|emergency_room|ent|general_medicine|general_surgery|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery|polytrauma|radiation_oncology|urology
HOSP-00194,759,CHHATTISGARH,Public,True,emergency_room|ent|general_medicine|general_surgery|mental_disorders|neonatal|obgyn|paediatric_medicine
HOSP-00195,565,KERALA,Public,True,emergency_room|general_medicine
HOSP-00196,157,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|orthopaedics
HOSP-00197,146,UTTAR PRADESH,Private(For Profit),False,general_medicine|general_surgery|obgyn|orthopaedics|urology
HOSP-00198,152,UTTAR PRADESH,Public,True,general_medicine
HOSP-00199,100,RAJASTHAN,Private(For Profit),False,general_surgery|interventional_neuroradiology|neurosurgery|obgyn
HOSP-00200,389,CHHATTISGARH,Public,True,emergency_room|general_medicine|obgyn
HOSP-00201,559,KERALA,Public,True,
HOSP-00202,96,RAJASTHAN,Private(For Profit),False,
HOSP-00203,546,KARNATAKA,Public,True,
HOSP-00204,585,TAMIL NADU,Public,False,
HOSP-00205,12,JAMMU AND KASHMIR,Public,True,burns|emergency_room|ent|general_medicine|general_surgery|obgyn|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery
HOSP-00206,466,MAHARASHTRA,Private(For Profit),False,burns|cardiology|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|surgical_oncology|urology
HOSP-00207,380,CHHATTISGARH,Public,True,emergency_room|general_medicine|obgyn
HOSP-00208,634,TAMIL NADU,Private(For Profit),False,
HOSP-00209,535,KARNATAKA,Public,True,
HOSP-00210,261,MIZORAM,Public,True,burns|emergency_room|ent|general_medicine|general_surgery|mental_disorders|neonatal|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma
HOSP-00211,39,PUNJAB,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00212,548,KARNATAKA,Public,True,
HOSP-00213,593,TAMIL NADU,Private(For Profit),False,
HOSP-00214,512,TELANGANA,Public,True,
HOSP-00215,569,TAMIL NADU,Private(For Profit),False,burns|cardiology|ctvs|emergency_room|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|neonatal|neurosurgery|obgyn|ophthalmology|orthopaedics|paediatric_medicine|paediatric_surgery|plastic_surgery|surgical_oncology|urology
HOSP-00216,546,KARNATAKA,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|ophthalmology|paediatric_surgery
HOSP-00217,572,TAMIL NADU,Public,True,
HOSP-00218,572,TAMIL NADU,Private(For Profit),False,burns|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neurosurgery|obgyn|orthopaedics|plastic_surgery
HOSP-00219,649,CHHATTISGARH,Public,True,emergency_room|general_medicine|obgyn|paediatric_medicine
HOSP-00220,507,TELANGANA,Private(For Profit),False,general_medicine|obgyn|orthopaedics|paediatric_medicine|polytrauma|urology
HOSP-00221,174,UTTAR PRADESH,Public,True,general_medicine
HOSP-00222,160,UTTAR PRADESH,Private(For Profit),False,general_medicine|general_surgery|obgyn|ophthalmology
HOSP-00223,225,SIKKIM,Public,True,emergency_room|general_medicine
HOSP-00224,542,KARNATAKA,Public,True,
HOSP-00225,199,BIHAR,Public,True,emergency_room|general_medicine
HOSP-00226,506,ANDHRA PRADESH,Public,True,
HOSP-00227,578,TAMIL NADU,Private(For Profit),False,
HOSP-00228,293,ASSAM,Public,True,emergency_room|general_medicine|obgyn|oral_maxillofacial|paediatric_medicine
HOSP-00229,155,UTTAR PRADESH,Public,True,general_medicine
HOSP-00230,523,ANDHRA PRADESH,Public,True,
HOSP-00231,7,JAMMU AND KASHMIR,Public,False,emergency_room|ent|general_medicine|general_surgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine
HOSP-00232,113,RAJASTHAN,Public,True,
HOSP-00233,157,UTTAR PRADESH,Private(For Profit),False,ophthalmology
HOSP-00234,573,TAMIL NADU,Public,False,
HOSP-00235,169,UTTAR PRADESH,Public,True,general_medicine
HOSP-00236,126,UTTAR PRADESH,Public,True,general_medicine
HOSP-00237,568,TAMIL NADU,Private(For Profit),False,
HOSP-00238,122,UTTAR PRADESH,Public,True,general_medicine
HOSP-00239,641,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00240,130,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|ophthalmology|orthopaedics|polytrauma|urology
HOSP-00241,523,ANDHRA PRADESH,Private(For Profit),False,
HOSP-00242,416,MADHYA PRADESH,Public,True,emergency_room|general_medicine|obgyn|paediatric_medicine
HOSP-00243,525,KARNATAKA,Public,True,
HOSP-00244,516,TELANGANA,Private(For Profit),False,cardiology|emergency_room|general_medicine|general_surgery|orthopaedics|paediatric_medicine|polytrauma
HOSP-00245,276,MEGHALAYA,Public,True,emergency_room|ent|general_medicine|general_surgery|obgyn|paediatric_medicine
HOSP-00246,425,MADHYA PRADESH,Public,True,emergency_room|general_medicine|obgyn
HOSP-00247,185,UTTAR PRADESH,Private(For Profit),False,general_medicine|general_surgery|obgyn|orthopaedics|urology
HOSP-00248,274,MEGHALAYA,Public,True,emergency_room|general_medicine|obgyn|oral_maxillofacial|paediatric_medicine
HOSP-00249,513,TELANGANA,Public,True,
HOSP-00250,125,UTTAR PRADESH,Public,True,general_medicine
HOSP-00251,569,TAMIL NADU,Private(For Profit),False,
