Sl. No.,State / UT,Number of beneficiaries
1,Assam,74
2,Bihar,34057
3,Chandigarh,2
4,Chhattisgarh,5576
5,Goa,5
6,Gujarat,58060
7,Haryana,13555
8,Himachal Pradesh,2892
9,Jammu and Kashmir,32900
10,Jharkhand,98622
11,Kerala,148581
12,Madhya Pradesh,128804
13,Maharashtra,57419
14,Meghalaya,69337
15,Mizoram,58
16,Nagaland,2
17,Puducherry,2735
18,Punjab,30001
19,Dadra and Nagar Haveli and Daman and Diu,2285
20,Tripura,2687
21,Uttar Pradesh,75240
22,Uttarakhand,14571
